Company Name,Therapeutic Area
BeOne Medicines Ltd. (formerly BeiGene Ltd.),Solid Tumors)
"Samsung Bioepis Co., Ltd.",Immunology
"Samsung Bioepis Co., Ltd.",Oncology
"Samsung Bioepis Co., Ltd.",Ophthalmology
"Samsung Bioepis Co., Ltd.",Hematology
"Samsung Bioepis Co., Ltd.",Nephrology
"Samsung Bioepis Co., Ltd.",Endocrinology
Sun Pharmaceutical Industries Limited,Dermatology
Sun Pharmaceutical Industries Limited,Ophthalmology
Sun Pharmaceutical Industries Limited,Oncology
Sun Pharmaceutical Industries Limited,Cardiology
Sun Pharmaceutical Industries Limited,Neuro-psychiatry
Sun Pharmaceutical Industries Limited,Gastroenterology
Sun Pharmaceutical Industries Limited,Diabetology
Sun Pharmaceutical Industries Limited,Anti-infectives
Sun Pharmaceutical Industries Limited,Urology
Sun Pharmaceutical Industries Limited,Nephrology
Sun Pharmaceutical Industries Limited,Respiratory
Dr. Reddy's Laboratories Ltd.,Gastrointestinal
Dr. Reddy's Laboratories Ltd.,Cardiovascular
Dr. Reddy's Laboratories Ltd.,Diabetology
Dr. Reddy's Laboratories Ltd.,Oncology
Dr. Reddy's Laboratories Ltd.,Pain Management
Dr. Reddy's Laboratories Ltd.,Dermatology
Cipla Limited,Respiratory
Cipla Limited,Anti-retroviral
Cipla Limited,Cardiology
Cipla Limited,Oncology
Cipla Limited,Anti-infective
Cipla Limited,CNS
Cipla Limited,Urology
Cipla Limited,Dermatology
Cipla Limited,Diabetology
Cipla Limited,Ophthalmology
Lupin Limited,Cardiovascular
Lupin Limited,Diabetes
Lupin Limited,Respiratory
Lupin Limited,CNS
Lupin Limited,GI
Lupin Limited,Dermatology
Lupin Limited,Ophthalmology
Lupin Limited,Gynaecology
Lupin Limited,Anti-infectives
Aurobindo Pharma Limited,Anti-infectives
Aurobindo Pharma Limited,CNS
Aurobindo Pharma Limited,Cardiovascular
Aurobindo Pharma Limited,ARV/HIV
Aurobindo Pharma Limited,Oncology (Biosimilars)
Aurobindo Pharma Limited,Gastroenterology
Aurobindo Pharma Limited,Dermatology
Aurobindo Pharma Limited,APIs
Zydus Lifesciences Limited,Cardiology
Zydus Lifesciences Limited,Metabolic/Diabetes
Zydus Lifesciences Limited,Gastroenterology
Zydus Lifesciences Limited,CNS
Zydus Lifesciences Limited,Women Healthcare
Zydus Lifesciences Limited,Nephrology
Zydus Lifesciences Limited,Oncology
Zydus Lifesciences Limited,Biosimilars
Torrent Pharmaceuticals,Cardiovascular (CV)
Torrent Pharmaceuticals,Central Nervous System (CNS)
Torrent Pharmaceuticals,Gastro-Intestinal (GI)
Torrent Pharmaceuticals,Women Healthcare (WHC)
Torrent Pharmaceuticals,Vitamins Minerals & Nutrients (VMN)
Torrent Pharmaceuticals,Cosmo-Dermatology
Torrent Pharmaceuticals,Diabetology
Torrent Pharmaceuticals,Pain Management
Torrent Pharmaceuticals,Gynaecology
Torrent Pharmaceuticals,Oncology
Torrent Pharmaceuticals,Anti-Infective
Alkem Laboratories,Anti-Infective
Alkem Laboratories,Gastroenterology
Alkem Laboratories,Pain Relief/Analgesic
Alkem Laboratories,Anti-Diabetic
Alkem Laboratories,Cardiology
Alkem Laboratories,Dermatology
Alkem Laboratories,Neurology/CNS
Alkem Laboratories,Vitamins Minerals & Nutrition
Alkem Laboratories,Oncology
Alkem Laboratories,Ophthalmology
Alkem Laboratories,Gynaecology
Alkem Laboratories,Respiratory
Mankind Pharma,Anti-Infectives
Mankind Pharma,Cardiovascular
Mankind Pharma,Gastrointestinal
Mankind Pharma,Anti-Diabetic
Mankind Pharma,Neuro/CNS
Mankind Pharma,Vitamins/Minerals/Nutrients
Mankind Pharma,Respiratory
Mankind Pharma,Gynaecology
Mankind Pharma,Dermatology
Mankind Pharma,Oncology
Mankind Pharma,Urology
Glenmark Pharmaceuticals,Respiratory
Glenmark Pharmaceuticals,Dermatology
Glenmark Pharmaceuticals,Oncology
Glenmark Pharmaceuticals,Cardiac
Glenmark Pharmaceuticals,Diabetes
Glenmark Pharmaceuticals,Anti-Infectives
