Company,Field,Value,Source URL
"Moderna, Inc.",Revenue,3236000000,https://www.sec.gov/Archives/edgar/data/0001682852/000168285225000022/mrna-20241231.htm
"Moderna, Inc.",Employees,5000,https://www.sec.gov/Archives/edgar/data/0001682852/000168285225000022/mrna-20241231.htm
"Moderna, Inc.",Therapeutic Area,"Infectious Diseases (COVID-19, RSV, Influenza), Oncology, Rare Diseases, Cardiovascular, Autoimmune",https://www.sec.gov/Archives/edgar/data/0001682852/000168285225000022/mrna-20241231.htm
"Moderna, Inc.",Key Products,"Spikevax (COVID-19 mRNA Vaccine), mRESVIA (RSV Vaccine)",https://www.sec.gov/Archives/edgar/data/1682852/000168285225000006/exhibit9912024q4pressrelea.htm
"Moderna, Inc.",Website,https://www.modernatx.com,https://www.modernatx.com
BioNTech SE,Revenue,2975000000,https://www.sec.gov/Archives/edgar/data/0001776985/000177698525000013/bntx-20241231.htm
BioNTech SE,Employees,5500,https://www.sec.gov/Archives/edgar/data/0001776985/000177698525000013/bntx-20241231.htm
BioNTech SE,Therapeutic Area,"Oncology (mRNA Cancer Immunotherapies, Bispecific Antibodies, ADCs, CAR-T), Infectious Diseases (COVID-19, Influenza, Tuberculosis, Malaria)",https://www.sec.gov/Archives/edgar/data/0001776985/000177698525000013/bntx-20241231.htm
BioNTech SE,Key Products,"Comirnaty, BNT327, autogene cevumeran/BNT122, BNT111, BNT211 (CAR-T)",https://investors.biontech.de/news-releases/news-release-details/biontech-announces-fourth-quarter-and-full-year-2024-financial
BioNTech SE,Website,https://www.biontech.com,https://www.biontech.com
CSL Limited,Revenue,14800000000,https://investors.csl.com/annualreport/2024/108/
CSL Limited,Employees,32000,https://investors.csl.com/annualreport/2024/
CSL Limited,Therapeutic Area,"Immunology, Haematology, Nephrology & Transplant, Respiratory, Cardiovascular & Metabolic, Vaccines",https://investors.csl.com/annualreport/2024/
CSL Limited,Key Products,"PRIVIGEN, HIZENTRA, HEMGENIX, IDELVION, AFSTYLA, HAEGARDA, BERINERT, KCENTRA, INJECTAFER/FERINJECT, VELPHORO, VELTASSA, FLUAD, FLUCELVAX, KOSTAIVE",https://investors.csl.com/annualreport/2024/163/
CSL Limited,Website,https://www.csl.com,https://www.csl.com
Teva Pharmaceutical Industries Limited,Revenue,16544000000,https://ir.tevapharm.com/news-and-events/press-releases/press-release-details/2025/Teva-Delivers-Second-Consecutive-Year-of-Growth-Announces-Strong-Financial-Results-in-Fourth-Quarter-and-Full-Year-2024-Led-by-Generics-Performance-and-Innovative-Portfolio-Growth/default.aspx
Teva Pharmaceutical Industries Limited,Employees,37000,https://ir.tevapharm.com/news-and-events/press-releases/press-release-details/2025/Teva-Delivers-Second-Consecutive-Year-of-Growth-Announces-Strong-Financial-Results-in-Fourth-Quarter-and-Full-Year-2024-Led-by-Generics-Performance-and-Innovative-Portfolio-Growth/default.aspx
Teva Pharmaceutical Industries Limited,Therapeutic Area,"Generic Medicines (U.S., Europe, International), Innovative Medicines (CNS/Neuroscience, Immunology), Biosimilars",https://ir.tevapharm.com/news-and-events/press-releases/press-release-details/2025/Teva-Delivers-Second-Consecutive-Year-of-Growth-Announces-Strong-Financial-Results-in-Fourth-Quarter-and-Full-Year-2024-Led-by-Generics-Performance-and-Innovative-Portfolio-Growth/default.aspx
Teva Pharmaceutical Industries Limited,Key Products,"AUSTEDO, AJOVY, UZEDY, COPAXONE, SELARSDI, BENDEKA/TREANDA",https://ir.tevapharm.com/news-and-events/press-releases/press-release-details/2025/Teva-Delivers-Second-Consecutive-Year-of-Growth-Announces-Strong-Financial-Results-in-Fourth-Quarter-and-Full-Year-2024-Led-by-Generics-Performance-and-Innovative-Portfolio-Growth/default.aspx
Teva Pharmaceutical Industries Limited,Website,https://www.tevapharm.com,https://www.tevapharm.com
Astellas Pharma Inc.,Revenue,12581000000,https://www.astellas.com/content/dam/astellas-com/global/en/documents/financial-results/full-year-and-4q-fy2024-financial-results-en.pdf
Astellas Pharma Inc.,Employees,13643,https://www.astellas.com/content/dam/astellas-com/global/en/documents/environment-ehs-report-fy2025-en.pdf
Astellas Pharma Inc.,Therapeutic Area,"Oncology, Ophthalmology, Urology, Women's Health, Hematology, Transplantation & Immunology",https://www.astellas.com/content/dam/astellas-com/global/en/documents/financial-results/full-year-and-4q-fy2024-financial-results-en.pdf
Astellas Pharma Inc.,Key Products,"XTANDI, PADCEV, IZERVAY, VEOZAH/VEOZA, VYLOY, XOSPATA, PROGRAF, BETANIS/MYRBETRIQ/BETMIGA",https://www.astellas.com/content/dam/astellas-com/global/en/documents/financial-results/full-year-and-4q-fy2024-financial-results-en.pdf
Astellas Pharma Inc.,Website,https://www.astellas.com,https://www.astellas.com
"Daiichi Sankyo Co., Ltd.",Revenue,11811225768,https://www.daiichisankyo.com/files/investors/library/quarterly_result/2024/4Q/FY2024Q4_Reference_Data_E.pdf
"Daiichi Sankyo Co., Ltd.",Employees,19765,https://www.daiichisankyo.com/files/investors/library/quarterly_result/2024/4Q/FY2024Q4_Reference_Data_E.pdf
"Daiichi Sankyo Co., Ltd.",Therapeutic Area,"Oncology (ADC Platform: HER2, TROP2, HER3), Cardiovascular, Pain, Bone & Metabolism, Vaccines",https://www.daiichisankyo.com/files/investors/library/quarterly_result/2024/4Q/FY2024Q4_Financial_Results_Presentation_E.pdf
"Daiichi Sankyo Co., Ltd.",Key Products,"ENHERTU, DATROWAY, Lixiana/Savaysa, Tarlige, Pralia, Belsomra, Nilemdo/Nustendi, Ezharmia, FluMist, Venofer, Injectafer",https://www.daiichisankyo.com/files/investors/library/quarterly_result/2024/4Q/FY2024Q4_Reference_Data_E.pdf
"Daiichi Sankyo Co., Ltd.",Website,https://www.daiichisankyo.com,https://www.daiichisankyo.com
